concept,data_type,parent

Specimen,,
Procedure,,Specimen
Partial cystectomy,boolean,Procedure
Radical cystectomy (total cystectomy),boolean,Procedure
Radical cystoprostatectomy,boolean,Procedure
Anterior exenteration,boolean,Procedure
Other (specify),text,Procedure
Cannot be determined,boolean,Procedure

Tumor,,
Tumor Site,,Tumor
trigone,boolean,Tumor Site
right lateral wall,boolean,Tumor Site
left lateral wall,boolean,Tumor Site
anterior wall,boolean,Tumor Site
posterior wall,boolean,Tumor Site
dome,boolean,Tumor Site
other,text,Tumor Site
cannot be determined,text,Tumor Site

Histologic Type,,Tumor
Urothelial,,Histologic Type

papillary noninvasive,boolean,Histologic Type
papillary invasive,boolean,Histologic Type
in situ,boolean,Histologic Type
invasive,boolean,Histologic Type
nested (including large nested) variant,boolean,Histologic Type
microcystic variant,boolean,Histologic Type
micropapillary variant,boolean,Histologic Type
lymphoepithelioma-like variant,boolean,Histologic Type
plasmacytoid / signet ring cell / diffuse,boolean,Histologic Type
sarcomatoid variant,boolean,Histologic Type
giant cell variant,boolean,Histologic Type
poorly differentiated variant,boolean,Histologic Type
lipid-rich variant,boolean,Histologic Type
clear cell variant,boolean,Histologic Type
urothelial with squamous differentiation,boolean,Histologic Type
pct_squa_diff,text,urothelial with squamous differentiation
urothelial with glandular differentiation,boolean,Histologic Type
pct_glan_diff,text,urothelial with glandular differentiation
urothelial with trophoblastic differentiation,boolean,Histologic Type
pct_trop_diff,text,urothelial with trophoblastic differentiation
urothelial with Müllerian differentiation,boolean,Histologic Type
pct_mull_diff,text,urothelial with Müllerian differentiation

Squamous,,Histologic Type
squamous cell carcinoma,boolean,Squamous
verrucous carcinoma,boolean,Squamous
squamous cell carcinoma in situ,boolean,Squamous

Glandular,,Histologic Type
adenocarcinoma,boolean,Glandular
"adenocarcinoma, enteric",boolean,Glandular
"adenocarcinoma, mucinous",boolean,Glandular
"adenocarcinoma, mixed",boolean,Glandular
adenocarcinoma in situ,boolean,Glandular

Tumors of Müllerian type,,Histologic Type
clear cell carcinoma,boolean,Tumors of Müllerian type
endometrioid carcinoma,boolean,Tumors of Müllerian type

